time,totalCases
25,333
26,415
27,713
28,955
29,1128
30,1694
31,2036
32,2502
33,3089
34,3858
35,4636
36,5883
37,8363
38,10359
39,11784
40,12462
41,15113
42,17660
43,21157
44,24747
45,27980
46,31506
47,35713
48,41035
49,47021
50,53578
51,59137
52,63927
53,69176
54,74376
55,80539
56,86498
57,92472
58,97689
59,101739
60,105792
61,110574
62,115242
63,119827
64,124632
65,128948
66,132547
67,135586
68,139422
69,143626
70,147577
71,152271
72,156363
73,159516
74,162488
75,165155
